file_name	base_name	yr_mo	int_area	int_gain	samp_gain
1706_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_SFMD_SMP_1	1706	25176.70495	med	med
1706_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_SFMG_SMP_1	1706	25176.70495	med	med
1706_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_SFPR_SMP_1	1706	25176.70495	med	med
1706_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_SFSI_SMP_1	1706	25176.70495	med	med
1707_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_ELDC_SMP_1	1707	24257.30574	med	med
1707_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_FOXC_SMP_1	1707	24257.30574	med	med
1707_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_REDC_SMP_1	1707	24257.30574	med	med
1707_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_SFCD_SMP_1	1707	24257.30574	med	med
1707_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_SFMD_SMP_1	1707	24257.30574	med	med
1707_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_SFMG_SMP_1	1707	24257.30574	med	med
1707_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_SFPR_SMP_1	1707	24257.30574	med	med
1707_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1707_SFSI_SMP_1	1707	24257.30574	med	med
1708_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_ELDC_SMP_1	1708	21582.17126	med	med
1708_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_FOXC_SMP_1	1708	21582.17126	med	med
1708_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_REDC_SMP_1	1708	21582.17126	med	med
1708_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_SFCD_SMP_1	1708	21582.17126	med	med
1708_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1708_SFMD_SMP_1	1708	21582.17126	med	med
